XRP,,,,LTC,,,,BTC,,,,ETH,,,,,,,,
Date,Open,,,Date,Open,,,Date,Open,,,Date,Open,,,,XRP,LTC,BTC,ETH
4/15/2018,0.634883,0.276036087,,4/15/2018,126.67,0.546769111,,4/15/2018,7999.33,0.566837913,,4/15/2018,502.88,0.665396422,,4/15/2018,0.276036087,0.546769111,0.566837913,0.665396422
4/16/2018,0.682296,0.296650435,,4/16/2018,131.97,0.56964648,,4/16/2018,8337.57,0.590805828,,4/16/2018,532.07,0.704019795,,4/16/2018,0.296650435,0.56964648,0.590805828,0.704019795
4/17/2018,0.66489,0.289082609,,4/17/2018,128.71,0.55557474,,4/17/2018,8071.66,0.571963266,,4/17/2018,511.14,0.676325818,,4/17/2018,0.289082609,0.55557474,0.571963266,0.676325818
4/18/2018,0.657052,0.285674783,,4/18/2018,132.38,0.571416239,,4/18/2018,7944.43,0.562947662,,4/18/2018,503.31,0.665965386,,4/18/2018,0.285674783,0.571416239,0.562947662,0.665965386
4/19/2018,0.712059,0.30959087,,4/19/2018,140.04,0.604480511,,4/19/2018,8159.27,0.578171369,,4/19/2018,524.04,0.693394728,,4/19/2018,0.30959087,0.604480511,0.578171369,0.693394728
4/20/2018,0.791172,0.343987826,,4/20/2018,146.5,0.632365002,,4/20/2018,8286.88,0.5872139,,4/20/2018,567.99,0.751548111,,4/20/2018,0.343987826,0.632365002,0.5872139,0.751548111
4/21/2018,0.925021,0.402183043,,4/21/2018,155.69,0.672033496,,4/21/2018,8848.79,0.627031221,,4/21/2018,616,0.815073568,,4/21/2018,0.402183043,0.672033496,0.627031221,0.815073568
4/22/2018,0.86682,0.376878261,,4/22/2018,148.61,0.641472785,,4/22/2018,8925.06,0.632435765,,4/22/2018,606.12,0.802000635,,4/22/2018,0.376878261,0.641472785,0.632435765,0.802000635
4/23/2018,0.866578,0.376773043,,4/23/2018,146.67,0.633098804,,4/23/2018,8794.39,0.623176401,,4/23/2018,621.2,0.821954059,,4/23/2018,0.376773043,0.633098804,0.623176401,0.821954059
4/24/2018,0.876012,0.380874783,,4/24/2018,152.57,0.658566064,,4/24/2018,8934.34,0.633093352,,4/24/2018,643.4,0.851328464,,4/24/2018,0.380874783,0.658566064,0.633093352,0.851328464
4/25/2018,0.932771,0.405552609,,4/25/2018,165.09,0.712608452,,4/25/2018,9701.03,0.687421522,,4/25/2018,707.06,0.935561554,,4/25/2018,0.405552609,0.712608452,0.687421522,0.935561554
4/26/2018,0.801774,0.348597391,,4/26/2018,144.7,0.62459533,,4/26/2018,8867.32,0.628344269,,4/26/2018,618.08,0.817825765,,4/26/2018,0.348597391,0.62459533,0.628344269,0.817825765
4/27/2018,0.851139,0.370060435,,4/27/2018,153.44,0.662321405,,4/27/2018,9290.63,0.658340301,,4/27/2018,662.11,0.876085001,,4/27/2018,0.370060435,0.662321405,0.658340301,0.876085001
4/28/2018,0.812063,0.35307087,,4/28/2018,145.74,0.629084474,,4/28/2018,8939.27,0.633442695,,4/28/2018,644.65,0.852982428,,4/28/2018,0.35307087,0.629084474,0.633442695,0.852982428
4/29/2018,0.864399,0.375825652,,4/29/2018,152.16,0.656796305,,4/29/2018,9346.41,0.66229291,,4/29/2018,683.91,0.904930137,,4/29/2018,0.375825652,0.656796305,0.66229291,0.904930137
4/30/2018,0.871404,0.378871304,,4/30/2018,153.65,0.663227867,,4/30/2018,9426.11,0.667940505,,4/30/2018,689.76,0.912670689,,4/30/2018,0.378871304,0.663227867,0.667940505,0.912670689
5/1/2018,0.838355,0.364502174,,5/1/2018,148.34,0.640307334,,5/1/2018,9251.47,0.655565397,,5/1/2018,670.46,0.887133482,,5/1/2018,0.364502174,0.640307334,0.655565397,0.887133482
5/2/2018,0.839355,0.364936957,,5/2/2018,148.44,0.640738982,,5/2/2018,9104.6,0.64515809,,5/2/2018,674.08,0.891923362,,5/2/2018,0.364936957,0.640738982,0.64515809,0.891923362
5/3/2018,0.85898,0.373469565,,5/3/2018,151.86,0.65550136,,5/3/2018,9233.97,0.654325336,,5/3/2018,686.59,0.908476236,,5/3/2018,0.373469565,0.65550136,0.654325336,0.908476236
5/4/2018,0.881536,0.383276522,,5/4/2018,160.47,0.692666293,,5/4/2018,9695.5,0.687029662,,5/4/2018,776.77,1.027799831,,5/4/2018,0.383276522,0.692666293,0.687029662,1.027799831
5/5/2018,0.895562,0.389374783,,5/5/2018,168.35,0.726680192,,5/5/2018,9700.28,0.687368376,,5/5/2018,784.58,1.038133799,,5/5/2018,0.389374783,0.726680192,0.687368376,1.038133799
