X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
547,,,,,,,,,,,25,,,,,1
548,,,,,,,12,,,,,,,,,1
549,,2,,5,,,12,,,,,,30,,,4
550,,,,,,,,17,,,,,,,,1
551,,,,,,10,12,,,,25,28,,32,,5
552,,2,,,,10,,,,,,,30,,,3
553,,,,,,10,,,,,,,,,,1
554,,,,,,,,,,,,,,32,33,2
555,,,,,,,,,,23,,,,,,1
556,,,,5,,,,,,,,28,,,,2
557,,,,,,,12,,,,,,,,,1
558,,2,,,,10,,,,,25,,,32,,4
559,,,,,,,,,18,,25,,,,,2
560,,,3,,,,12,17,,,,,,,,3
561,0,,,5,,,12,,,,,28,30,,,5
562,,,,,,,,,,,25,,,32,,2
563,,,3,,,,,,,,,,30,,,2
564,,,,,,,,,,,,,30,,,1
565,,,,,,,,,,,25,,,,,1
566,,,,,7,,,,,,,,,,,1
567,,,3,5,,10,,,,,,,,,,3
568,,2,3,,,,,,,23,,,,,,3
569,,,,,,10,,,,,,28,,,33,3
570,0,,,,,,12,,,,25,,,,,3
571,,2,,,,,12,,,23,,28,,,,4
572,,,,,,,,,,,,,,,,0
573,,,,,,,,,,,,,,,,0
574,,,,,,,,,,,25,,,,33,2
575,,,,,,,,,,,,28,,32,,2
576,,,,,,10,,17,,,,,,,,2
577,0,,,,,,,,,,,,30,,33,3
578,,,,,,10,,,,,,,,,33,2
579,,,3,,7,,,,,,,,,,33,3
580,,,,,,,,,,,25,,,,,1
581,,,3,5,7,,,,,23,,,,32,33,6
582,,,,,,,,17,,,,28,30,,,3
583,,,,,,,12,,,,,28,30,,,3
584,,2,,,,,,17,,,,,,,,2
585,,,3,,,,,,,,,,,,,1
586,,,,,,,,,,,,,,,,0
587,,,,,,,,,18,,,,,,,1
588,,2,,,,,12,17,,,,,,,,3
589,,,,,7,,,,,,,,,,,1
590,,,,,,,,,,,,,,,,0
591,,2,,,,,12,,,23,,,,32,,4
592,,,3,5,,,,,18,,,,,,,3
593,,2,,,,,,,,,,,,,,1
594,,,,5,7,,,,,,,28,,,,3
595,,,,5,,,,,,,,28,,,,2
596,,,,,,10,,,,,,,,,,1
597,,,,,,,,,,23,,,,,,1
598,,,,,,10,,,,,,,,,,1
599,0,,,,,,,,18,23,,,,,,3
600,,2,,,,,,,,,,,,,,1
601,,,3,,,,,,,,,,,,,1
602,,,,,,,12,,,,,,,32,,2
603,,,,,,,,,,,,,,,,0
604,,,3,,,,,,,,,,,32,,2
605,,,,5,,,,,,,,28,,,33,3
606,,,,5,,,,,,,,,,,,1
607,,,,,,,,,,23,,,,,,1
608,0,,,5,,,,,,23,,,,,,3
609,,,,,,,,,,,,,,,,0
610,,2,,,,,,17,,23,,,,,,3
611,,,,5,,,,17,,,,,,,,2
612,0,,,5,,,,,,23,,,,,,3
613,,,3,,,,,17,,,,,,,,2
614,0,,,5,7,,,,,,,,30,,,4
615,,,,,,,12,,,23,,,,,,2
616,,,,,7,,,,,23,,28,,,,3
617,,,3,,,10,12,,,,,,,,,3
618,,,,,,,,,,23,,,,,,1
619,,,,,,,,,,,,,,,,0
620,0,,,,,10,,,,,,28,,,,3
621,0,,,,,,,,,,,,,,,1
622,0,2,,5,,,,,,,,,,,,3
623,,2,,,,,,,,,,,30,,,2
